Language,Default
Female_Black_Engineer_01,Невай Джонсон
Female_Black_Engineer_02,Имани Хендрикс
Female_Black_Miner_01,Олу Ивара
Female_Black_Miner_02,Ниеша Дэвис
Female_Black_Pilot_01,Кенди Домингес
Female_Black_Pilot_02,Жизель Бенуа
Female_Black_Scientist_01,Джалисса Гарви
Female_Black_Scientist_02,Лакшми Патель
Female_Black_Soldier_01,Мери Урей
Female_Black_Soldier_02,Мукамутара Хумало
Female_White_Doctor_01,Эльза Кох
Female_White_Doctor_02,Карин Нильссон
Female_White_Engineer_01,Полина Волкова
Female_White_Engineer_02,Бьянка Морейра
Female_White_Miner_01,Оливия Роу
Female_White_Miner_02,Каталина Валенсуэла
Female_White_Pilot_01,Хуана Наварро
Female_White_Pilot_02,Венла Хилтунен
Female_White_Scientist_01,Исла Флорес
Female_White_Scientist_02,Рея Онасис
Female_White_Soldier_01,Эмбла Сигрун
Female_White_Soldier_02,Уиллоу Джеттон
Male_Asian_Doctor_01,Бингвен Вонг
Male_Asian_Doctor_02,Ниран Нгам
Male_Asian_Engineer_01,Минцзе Юань
Male_Asian_Engineer_02,Кайто Ямамото
Male_Asian_Miner_01,Хо-Сеок Кан
Male_Asian_Miner_02,Хуэй Фань
Male_Asian_Pilot_01,Цянь Гао
Male_Asian_Pilot_02,Анджело Виллануэва
Male_Asian_Scientist_01,Рёта Сато
Male_Asian_Scientist_02,Амран Онг
Male_Asian_Soldier_01,Фарез Кхури
Male_Asian_Soldier_02,Удом Тхонг
Male_Black_Doctor_01,Селам Хайле
Male_Black_Doctor_02,Принц Дубэ
Male_Black_Engineer_01,Рохан Бакши
Male_Black_Engineer_02,Диего Ортис
Male_Black_Miner_01,Элайджа Вашингтон
Male_Black_Miner_02,Шабака Фарадж
Male_Black_Pilot_01,Грегори Адамс
Male_Black_Pilot_02,Кигонго Вандера
Male_Black_Scientist_01,Увера
Male_Black_Scientist_02,Чидиади Лаваль
Male_Black_Soldier_01,Атиф Мухаммед
Male_Black_Soldier_02,Финн Бадду
Male_White_Doctor_01,Лео Хавет
Male_White_Doctor_02,Михаил Попов
Male_White_Engineer_01,Феликс Цубер
Male_White_Engineer_02,Корт Дальгрен
Male_White_Miner_01,Джейкоб Томпсон
Male_White_Miner_02,Пас Акоста
Male_White_Pilot_01,Станимир Колесников
Male_White_Pilot_02,Рох Голик
Male_White_Scientist_01,Бруно ДеСилва
Male_White_Scientist_02,Дэвид Райт
Male_White_Soldier_01,Франциско Мартин
Male_White_Soldier_02,Цезарь Веро

#,[ Monster ]
Mon_Animal_Rat_NameKey,Крыса Титана
Mon_Animal_Rat_Evolved_NameKey,Кровожадная Крыса Титана
Mon_Animal_Worm_NameKey,Червь Титана
Mon_Animal_Worm_Evolved_NameKey,Кровожадный Червь Титана
Mon_Animal_Slug_NameKey,Слизняк Титана
Mon_Animal_Slug_Evolved_NameKey,Кровожадный Слизняк Титана
Mon_Animal_Beetle_NameKey,Жук Титана
Mon_Animal_Beetle_Evolved_NameKey,Кровожадный Жук Титана
Mon_Animal_Cocoon,Кокон
Mon_Animal_Detector_NameKey,Крикун
Mon_Animal_Spawner_Minion_NameKey,Ползун
Mon_Animal_Parasite_01_NameKey,Crawler
Mon_Animal_Parasite_02_NameKey,Popper
Mon_Animal_Maggot_NameKey,Жевун
Mon_Animal_Lurker_NameKey,Скрытень
Mon_Animal_Lurker_Strong_001_NameKey,Skulker
Mon_Animal_Burrower_NameKey,КопательНор
Mon_Animal_Burrower_Minion_NameKey,Копатель
Mon_Evolved_Origin_Expedition_NameKey,Мутировавший Поселенец
Mon_Evolved_Origin_Miner_NameKey,Мутировавший Шахтёр
Mon_Evolved_Base_A_NameKey,Мутант
Mon_Evolved_Base_B_NameKey,Драчун
Mon_Evolved_Base_B_Strong_NameKey,Здоровяк
Mon_Evolved_Bomber_A_NameKey,Рыгун
Mon_Evolved_Bomber_B_NameKey,Spewer
Mon_Evolved_Buffer_A_NameKey,Floater
Mon_Evolved_Buffer_B_NameKey,Drifter
Mon_Evolved_Explosive_NameKey,Подрывник
Mon_Evolved_Grabber_NameKey,Stabber
Mon_Evolved_Grabber_Poison_NameKey,Constrictor
Mon_Evolved_Reaper_A_NameKey,Slicer
Mon_Evolved_Reaper_B_NameKey,Carver
Mon_Evolved_Reaper_B_Acid_NameKey,Shredder
Mon_Evolved_Shooter_A_NameKey,Плевун
Mon_Evolved_Shooter_B_NameKey,Blaster
Mon_Evolved_Spawner_NameKey,Spawner
Mon_Evolved_Tanker_A_NameKey,Crusher
Mon_Evolved_Tanker_A_001_Strong_NameKey,Pulverizer
Mon_Evolved_Tanker_B_NameKey,Smasher
Mon_Evolved_Tanker_B_001_Strong_NameKey,Demolisher
Mon_Evolved_Tower_NameKey,Spindler
Mon_Evolved_Tower_A_Acid_NameKey,Dissipater
Mon_Evolved_Hybrid_A_NameKey,Graver
Mon_Evolved_Hybrid_A_Strong_NameKey,Mass Graver
Mon_Evolved_Hybrid_A_Durable_NameKey,Rejuvenator
Mon_Elite_TrainCaptain_NameKey,Train Warden
Mon_Elite_MadScientist_NameKey,Mad Doctor
Mon_Elite_Industrial_Robot_NameKey,Industrial Bot
Mon_Boss_001_NameKey,Mega Smasher
Mon_Boss_002_NameKey,Pulsator
Mon_Boss_003_Core_001_NameKey,Fusion Beast
Mon_Boss_003_Core_002_NameKey,Enraged Fusion Beast
Mon_Boss_003_Core_003_NameKey,Replicating Fusion Beast
Mon_Boss_003_Minion_NameKey,Fusion Spawn
Mon_Boss_004_NameKey,The Titanian
Mon_Boss_005_NameKey,Alien Lifeform
Mon_Boss_005_Minion_Melee_NameKey,Nano Slasher
Mon_Boss_005_Minion_Range_NameKey,Nano Burster

#,[ Ect ]
Narration,Narration
Player_FullName,Эддисон Торп
AI_Companion,ИИ: Кассини
Dummy_Humanoid,Dummy Human
ControlCenter,<#23d682>Центр Управления</color>
Stranger_Arcade,<#caa600>Чей-то Голос</color>
ReactorCore_001,Реакторное Ядро
Train_Computer,Устройство Управления Железнодорожной станцией
AI_HeadQuarter,ИИ: NINE
